Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	KCNQ2	3	3704	1.1138175127415446e-05	8.12
PRKDC	SLC24A4	3	1212	9.157559897045505e-07	8.12
PRKDC	FGF17	2	29	2.427227892635899e-05	8.12
PRKDC	HUS1	2	43	0.0003111996344823499	8.12
PRKDC	PDE3B	2	36	7.149356694214379e-05	8.12
PRKDC	AQP8	3	881	5.054356306451358e-06	8.12
PRKDC	TDO2	3	36	9.6578469732907e-07	8.12
PRKDC	TG	3	1565	7.905523840255666e-06	8.12
PRKDC	KRT10	3	4157	1.1914266791314406e-05	8.12
PRKDC	OR52E4	3	1212	9.157559897045505e-07	8.12
PRKDC	HLA-A	2	43	6.403452505075875e-05	8.12
PRKDC	ADCY6	2	56	4.522852398866758e-05	8.12
PRKDC	MRPL2	3	28	7.271490738540369e-08	8.12
PRKDC	RPL8	3	28	7.271490738540369e-08	8.12
PRKDC	VCAM1	2	2	4.245458785386733e-06	8.12
PRKDC	VIP	2	2	2.0915513873260352e-06	8.12
PRKDC	HAO1	3	73	8.452090186960054e-07	8.12
PRKDC	WNT10B	2	24	3.0089340204509233e-05	8.12
PRKDC	GDF5	2	27	4.539054678218552e-05	8.12
PRKDC	OR52L1	3	1212	9.157559897045505e-07	8.12
PRKDC	F11R	2	3	6.911071494315986e-06	8.12
PRKDC	GALNT16	3	12	1.424631706321847e-06	8.12
PRKDC	ADCY5	2	56	4.6442324632452905e-05	8.12
PRKDC	OR2M2	3	1212	9.157559897045505e-07	8.12
PRKDC	SRM	3	120	1.0165435440400404e-06	8.12
PRKDC	GBP2	2	1	3.361367135241245e-06	8.12
PRKDC	NDUFB5	3	2619	4.044616559694588e-06	8.12
PRKDC	C1R	3	1128	3.7200370912418037e-06	8.12
